#{"t_start": 1613400649.4113252, "env_id": "PyOmnibase-v0"}
r,l,t
11.268,247,29.475716
-17.84,1000,173.347902
-20.3,1000,365.954872
-29.77,1000,529.598553
-30.465,1000,695.172654
-27.18,1000,863.823458
-35.41,1000,1055.422233
-24.68,1000,1208.782245
-28.335,1000,1362.223571
-24.04,1000,1521.569848
-28.74,1000,1674.341129
10.124,381,1746.471984
-13.45,1000,1899.137742
-18.91,1000,2060.793877
-25.305,1000,2219.128895
11.113,202,2261.330357
-6.055,1000,2421.34979
-25.15,1000,2579.808315
-7.12,1000,2740.93437
-11.66,1000,2914.638398
-5.91,1000,3071.624546
-6.89,1000,3230.720598
-18.745,1000,3389.687047
-22.24,1000,3551.182436
1.325,1000,3735.843734
0.23,1000,3897.588669
-4.295,1000,4062.467193
-18.01,1000,4226.554195
-0.31,1000,4388.991748
-17.38,1000,4577.174751
-16.025,1000,4742.203357
1.355,1000,4906.14575
-3.015,1000,5071.019587
8.22,1000,5254.807017
