#{"t_start": 1613400649.4031534, "env_id": "PyOmnibase-v0"}
r,l,t
-16.105,1000,147.055008
11.479,181,165.149154
10.781,304,220.65757
-23.45,1000,389.476665
-32.515,1000,576.771457
-28.52,1000,740.579459
-31.14,1000,912.058392
-33.115,1000,1076.247056
-26.245,1000,1231.947283
-24.435,1000,1404.212794
11.172,203,1425.161861
-14.745,1000,1602.460947
-21.31,1000,1753.440997
-11.835,1000,1906.418289
-19.6,1000,2067.405419
-21.34,1000,2226.203257
-4.44,1000,2407.726834
-18.11,1000,2566.050213
-24.755,1000,2727.379973
-7.04,1000,2884.31866
-18.905,1000,3038.735737
11.165,235,3081.272589
-3.705,1000,3240.497813
-6.16,1000,3418.737378
-7.57,1000,3580.447244
11.315,190,3599.580519
-15.5,1000,3784.956321
0.515,1000,3945.409332
2.36,1000,4112.148522
11.208,177,4151.241169
0.65,1000,4312.672139
-6.505,1000,4480.477572
-1.29,1000,4644.649076
11.327,163,4683.185184
-1.92,1000,4845.563567
-17.375,1000,5010.175231
-0.36,1000,5174.016466
11.467,168,5212.236946
