#{"t_start": 1613319181.0985074, "env_id": "PyOmnibase-v0"}
r,l,t
-2.01,1000,176.62635
2.56,1000,350.015791
6.395,1000,519.116815
4.075,1000,688.112057
16.216,679,805.521858
2.655,1000,988.30667
8.69,1000,1162.445595
16.366,734,1278.894125
-111.92,1000,1452.741909
-142.75,1000,1646.459163
-102.355,1000,1819.133516
20.491,544,1921.822027
-143.36,1000,2096.490708
-132.13,1000,2270.199418
-137.27,1000,2444.939958
-132.42,1000,2622.109255
-144.04,1000,2824.484607
-115.765,1000,3003.125313
-130.43,1000,3179.769802
-103.745,1000,3355.246248
-96.01,1000,3529.532157
-86.34,1000,3709.665416
-82.925,1000,3880.58277
-63.715,1000,4053.914444
-58.415,1000,4231.378421
-8.161,831,4392.439761
-15.206,861,4553.376362
-85.2,1000,4731.047841
-79.71,1000,4905.084375
-79.69,1000,5079.315644
-62.485,1000,5277.326851
-56.815,1000,5452.018595
-56.46,1000,5632.895129
-66.825,1000,5815.147397
