#{"t_start": 1613275839.1347332, "env_id": "PyOmnibase-v0"}
r,l,t
-16.255,1000,187.815666
-16.17,1000,377.13869
-32.615,1000,569.811914
-13.235,1000,757.814319
-11.605,1000,961.429395
-9.78,1000,1155.610417
-11.865,1000,1319.043766
-7.295,1000,1522.63385
-12.4,1000,1727.022702
-6.035,1000,1931.887537
-9.24,1000,2118.147061
1.013,912,2301.992923
2.714,981,2497.442705
-14.67,1000,2694.273674
-0.675,1000,2892.005169
11.701,909,3072.33538
-13.48,1000,3265.318381
14.172,768,3427.062694
5.529,781,3573.679093
-62.865,1000,3802.441464
-7.28,1000,4002.326638
3.39,1000,4201.16546
-4.695,1000,4399.256663
-42.78,1000,4598.707034
-41.09,1000,4821.37071
-15.375,1000,5015.464583
-41.535,1000,5208.072822
-44.08,1000,5396.318541
5.905,1000,5570.461404
14.922,828,5732.50137
13.893,857,5900.140437
-38.815,1000,6076.301307
20.915,755,6190.43893
23.001,699,6311.628526
