#{"t_start": 1613291519.2494488, "env_id": "PyOmnibase-v0"}
r,l,t
-189.305,1000,176.843077
-140.63,1000,350.047498
-117.055,1000,516.822993
-47.52,1000,681.007903
-38.995,1000,867.217939
-31.005,1000,1023.794939
-90.75,1000,1177.860089
-123.52,1000,1326.800592
-86.14,1000,1453.2834
-34.46,1000,1622.729519
-35.9,1000,1777.890207
-32.76,1000,1932.557848
-9.833,398,1991.231924
-9.213,368,2045.477574
-6.015,285,2094.713528
3.355,1000,2263.389902
10.696,674,2364.822935
1.205,1000,2518.337871
5.306,999,2677.769801
2.035,1000,2838.615064
12.88,500,2931.328157
-153.56,1000,3092.413469
-139.08,1000,3257.034056
-151.98,1000,3441.881207
-125.535,1000,3603.244935
-109.56,1000,3764.524796
-63.9,1000,3925.387254
-118.945,1000,4083.425259
-126.59,1000,4261.222145
-136.31,1000,4417.074454
13.175,365,4472.564713
-127.335,1000,4626.752141
-112.065,1000,4780.261169
-80.655,1000,4954.219948
1.685,1000,5107.746059
13.21,375,5162.314204
-86.215,1000,5318.44407
