#{"t_start": 1613291519.2450147, "env_id": "PyOmnibase-v0"}
r,l,t
-169.825,1000,176.57207
-152.645,1000,349.781558
-96.34,1000,516.564118
-154.345,1000,680.745074
-144.86,1000,866.956158
-180.62,1000,1023.532267
-90.71,1000,1177.599465
-70.27,1000,1326.537728
-88.335,1000,1453.019828
-16.554,404,1520.985806
-31.485,465,1586.954794
-41.78,1000,1744.292912
-31.85,1000,1918.866689
-1.195,1000,2075.968741
0.879,221,2098.478386
9.249,966,2264.089623
11.366,714,2369.550073
3.7,1000,2523.107377
3.37,1000,2682.893831
10.977,608,2784.39405
-137.87,1000,2945.889197
-146.245,1000,3128.334258
-153.655,1000,3293.471491
-149.79,1000,3456.270856
-136.97,1000,3617.851932
-88.485,1000,3778.852117
-150.19,1000,3961.134046
-143.675,1000,4117.922814
-88.0,1000,4275.645581
-115.075,1000,4431.339955
-89.33,1000,4585.906585
-109.595,1000,4759.547992
-113.545,1000,4913.463248
-63.425,1000,5067.410302
-120.95,1000,5220.503562
