#{"t_start": 1613412608.3501875, "env_id": "PyOmnibase-v0"}
r,l,t
-14.679,349,45.618129
-73.2,1000,197.274851
-166.835,1000,364.227143
-3.505,175,402.648625
-217.73,1000,566.420327
2.001,139,580.149942
-72.76,1000,742.412122
-98.685,1000,927.291367
-7.164,359,985.993095
-127.13,1000,1147.724507
-85.065,865,1297.852304
-39.974,504,1371.737786
-56.77,1000,1552.82868
-74.17,1000,1716.875929
-104.25,1000,1877.132351
-117.203,783,2020.89478
-61.175,1000,2186.81745
-6.071,591,2285.708348
-9.0,560,2362.391204
-76.28,1000,2547.990423
-89.165,1000,2712.443325
1.705,1000,2872.464477
-25.23,1000,3027.967508
-13.195,1000,3187.477705
-81.33,1000,3369.993129
-64.285,1000,3536.040142
-47.195,1000,3699.450711
18.1,705,3811.550841
-40.235,1000,3991.949742
-89.905,1000,4155.366266
-118.5,1000,4319.582869
-124.44,1000,4483.280417
-20.592,747,4621.609288
-103.14,1000,4786.122175
-118.75,1000,4946.62445
-97.455,1000,5109.9716
