#{"t_start": 1613224152.4282749, "env_id": "PyOmnibase-v0"}
r,l,t
-21.25,1000,185.387005
-17.88,1000,350.212091
-17.985,1000,519.910783
-17.28,1000,686.405759
-17.035,1000,880.437227
-18.405,1000,1049.542791
-9.575,1000,1176.089126
-9.59,1000,1353.757881
-9.21,1000,1532.892528
-6.235,1000,1736.686627
-1.61,1000,1914.420907
0.59,1000,2092.638484
2.835,1000,2237.19758
8.438,912,2384.608568
-1.87,1000,2554.104728
-4.165,1000,2718.750535
-28.39,1000,2914.878161
-34.13,1000,3089.783767
7.98,1000,3264.044583
-35.46,1000,3437.284052
-43.53,1000,3635.231054
-38.69,1000,3803.499117
-25.0,1000,3975.251333
-5.886,926,4145.034891
-17.338,983,4320.672353
-11.76,1000,4496.496476
3.005,670,4615.475292
3.107,613,4719.02966
3.263,602,4814.832556
10.279,496,4902.035696
11.941,344,4959.713432
10.577,398,5016.175938
16.893,447,5091.394696
17.027,483,5162.821776
8.173,567,5245.682229
