#{"t_start": 1613224152.4326658, "env_id": "PyOmnibase-v0"}
r,l,t
-19.86,1000,185.653193
-21.375,1000,350.479366
-18.36,1000,520.171184
-15.48,1000,686.665119
-15.875,1000,880.698503
-18.77,1000,1049.802031
-14.8,1000,1176.349451
-15.49,1000,1354.021545
-6.26,990,1529.743665
-8.055,1000,1733.81568
-3.529,919,1878.051894
-4.799,684,2025.133044
3.466,904,2178.521958
7.09,980,2315.904986
0.57,1000,2488.662482
14.222,663,2599.601887
5.507,748,2716.241849
17.078,817,2868.560226
9.1,1000,3046.20562
-36.515,1000,3218.760181
-90.405,1000,3415.920356
-0.663,838,3549.191647
-60.28,1000,3743.044809
-42.87,1000,3912.517203
-12.082,787,4043.115374
13.818,757,4196.031978
0.175,830,4330.39963
25.4,850,4491.145846
11.557,983,4668.329659
6.452,363,4720.201916
4.797,438,4798.086445
5.685,385,4856.734972
10.217,578,4956.438159
10.784,466,5020.400811
11.949,386,5087.940385
16.718,442,5155.666343
13.629,526,5234.676586
