#{"t_start": 1613224152.4476206, "env_id": "PyOmnibase-v0"}
r,l,t
-20.045,1000,186.441693
-18.985,1000,351.26835
-20.135,1000,520.953849
-22.49,1000,687.446798
-12.41,1000,881.486215
-11.915,1000,1050.581614
-16.2,1000,1176.863802
-18.475,1000,1354.541427
-17.35,1000,1533.164959
-5.965,845,1693.510596
-0.894,639,1809.002515
2.054,991,1987.089175
-5.77,1000,2165.749702
7.284,471,2230.429035
-4.575,1000,2388.225707
3.685,915,2549.001599
-69.38,1000,2713.364984
7.275,770,2861.178051
-104.85,1000,3038.487741
6.323,892,3200.672163
6.816,609,3312.4072
4.467,758,3434.827964
-83.12,1000,3609.452605
-65.165,1000,3801.148685
3.55,830,3930.344048
6.166,704,4077.94654
-5.519,979,4253.081576
-3.511,846,4387.582556
10.173,762,4541.809743
-1.528,503,4618.327318
5.287,408,4701.182294
5.443,362,4752.731776
6.107,978,4908.814754
8.753,617,5009.150953
11.177,343,5058.374122
16.138,522,5148.759245
16.942,448,5205.206072
