#{"t_start": 1613224152.4030876, "env_id": "PyOmnibase-v0"}
r,l,t
-19.785,1000,184.079309
-16.4,1000,348.894413
-19.46,1000,518.613731
-20.14,1000,685.103148
-46.56,1000,879.096182
-15.265,1000,1048.246454
-15.93,1000,1174.795022
-16.875,1000,1352.451652
-6.26,530,1458.505934
-11.735,1000,1636.114942
-11.54,1000,1813.744325
-1.181,801,1972.788993
-12.121,821,2107.745394
2.941,654,2216.495604
-5.515,1000,2373.927539
9.678,942,2537.588019
3.564,746,2656.101941
5.412,838,2805.251946
14.96,830,2966.334456
-60.2,1000,3140.067755
-76.445,1000,3315.876139
-60.645,1000,3486.581532
-91.21,1000,3661.156686
-98.37,1000,3851.498587
4.359,746,3974.527776
-43.52,1000,4152.480234
-55.96,1000,4329.308345
14.628,977,4503.245903
21.647,788,4660.179231
21.986,924,4803.33172
7.731,199,4842.294426
7.303,277,4870.080439
5.415,385,4950.572776
10.401,524,5020.898791
11.387,393,5089.39139
11.946,349,5146.356756
16.424,461,5204.256158
