#{"t_start": 1613224152.4375858, "env_id": "PyOmnibase-v0"}
r,l,t
-18.225,1000,185.915363
-47.895,1000,350.743441
-20.195,1000,520.432433
-20.545,1000,686.924928
-16.475,1000,880.962341
-18.75,1000,1050.060629
-8.637,967,1169.863897
-16.835,1000,1347.539468
-6.115,610,1463.096258
-18.355,1000,1640.755327
-14.74,1000,1818.63202
-2.526,841,1981.273929
4.897,713,2105.573702
2.015,955,2245.951511
7.094,626,2339.977434
-77.14,1000,2533.361143
15.009,596,2637.705648
13.307,768,2757.522078
5.366,849,2916.633204
-63.4,1000,3091.293966
-57.18,1000,3265.558099
15.572,933,3431.462009
-68.345,1000,3606.055913
-128.01,1000,3797.73894
-68.85,1000,3969.492537
5.299,691,4090.214314
-55.865,1000,4267.518602
-8.338,843,4427.671828
22.32,1000,4605.066273
8.973,782,4741.38547
5.797,368,4797.00937
3.41,650,4900.822419
4.891,509,4976.060265
12.002,358,5041.466421
11.87,335,5091.995047
12.08,365,5150.448059
16.714,446,5206.64104
