#{"t_start": 1613224152.3985636, "env_id": "PyOmnibase-v0"}
r,l,t
-17.69,1000,183.816242
-18.775,1000,348.625947
-15.175,1000,518.352744
-18.235,1000,684.843221
-13.68,1000,878.833674
-15.215,1000,1047.986558
-16.76,1000,1174.535381
-11.095,1000,1352.189041
-6.57,1000,1532.008465
-5.87,1000,1736.070035
-4.57,1000,1913.915242
5.32,1000,2092.07355
5.34,1000,2236.619509
5.14,1000,2394.179451
-12.095,1000,2585.466792
8.64,840,2711.060337
-49.09,1000,2882.158789
-60.27,1000,3082.578294
-61.22,1000,3256.801903
-39.845,1000,3429.569693
-41.455,1000,3604.095808
-44.325,1000,3773.434914
-16.941,876,3929.66608
-56.495,1000,4132.575936
-8.619,914,4276.618644
7.595,1000,4477.174618
8.739,801,4608.884538
25.929,821,4749.108595
5.752,343,4802.812155
1.1,860,4949.970397
4.268,467,5013.512326
11.947,343,5062.790936
11.258,427,5142.689056
12.267,368,5191.528847
17.818,427,5250.592824
