#{"t_start": 1613357819.3524444, "env_id": "PyOmnibase-v0"}
r,l,t
13.14,755,91.080395
12.948,652,163.964201
13.901,444,213.653485
14.403,322,259.579549
8.665,330,318.746106
-160.94,1000,461.310507
-10.77,1000,593.829106
-3.03,1000,725.747995
-54.31,1000,861.148007
-125.605,1000,1003.408965
-123.305,1000,1145.760612
-166.13,1000,1293.328004
-116.845,1000,1435.106336
-179.51,1000,1582.803401
-86.089,994,1739.994586
-171.335,1000,1890.061857
-209.14,1000,2033.187115
-112.605,1000,2184.046939
3.921,524,2270.037252
-92.855,1000,2419.661839
-19.14,550,2508.607497
-213.27,1000,2658.39887
-21.903,508,2718.865419
-20.618,568,2780.970795
-36.093,503,2844.51011
-36.874,509,2907.364538
-171.755,1000,3018.619311
-104.409,689,3098.079458
-43.668,473,3159.920539
-197.585,1000,3275.769989
-147.745,1000,3390.419898
-183.565,1000,3508.421111
-110.16,810,3605.314509
-49.392,592,3675.122169
-67.76,665,3750.905685
-100.18,1000,3864.732528
-80.06,1000,3979.877992
