#{"t_start": 1613357819.3871632, "env_id": "PyOmnibase-v0"}
r,l,t
13.841,404,51.604511
14.183,297,85.842838
14.081,364,125.835529
13.426,344,164.441217
14.173,302,199.306975
14.057,398,253.220268
1.447,313,298.112031
-200.265,1000,435.44951
-83.275,1000,585.408993
-150.41,1000,717.261716
-140.655,1000,852.753305
-180.92,1000,981.476043
-108.98,1000,1121.046279
-149.465,1000,1284.33126
-191.355,1000,1426.65736
-201.825,1000,1574.171272
-148.0,1000,1717.641088
-62.798,738,1838.318082
-217.785,1000,1980.138527
-207.905,1000,2131.350467
-222.585,1000,2282.352438
-153.935,1000,2431.922093
-17.159,644,2549.569884
-209.175,1000,2686.865864
-188.485,1000,2804.52175
-169.585,1000,2920.449674
0.805,445,2974.332161
-173.545,1000,3088.402139
-39.229,619,3164.530977
-23.237,742,3249.118716
-192.425,1000,3363.343172
-30.606,646,3440.823509
-155.45,1000,3563.901167
-177.805,1000,3678.302272
-33.743,598,3747.744159
-183.605,1000,3861.526849
-76.352,662,3938.886642
