#{"t_start": 1613311684.178307, "env_id": "PyOmnibase-v0"}
r,l,t
1.33,1000,164.191536
1.35,1000,327.432268
3.075,1000,484.248962
-104.165,1000,647.227579
-105.365,1000,831.194716
-104.225,1000,992.375187
4.45,1000,1154.583166
-0.62,1000,1315.376741
1.045,1000,1478.334677
10.201,989,1656.860116
17.168,877,1786.753801
-99.31,1000,1969.83383
-131.35,1000,2133.017279
-104.045,1000,2294.932896
19.585,700,2406.846462
-80.855,1000,2568.482523
-86.255,1000,2751.918581
-89.275,1000,2913.665274
-1.997,822,3037.452806
-92.645,1000,3220.153023
-99.505,1000,3381.338096
-91.49,1000,3545.023333
16.342,673,3658.080791
-87.7,1000,3822.838018
-89.32,1000,4005.526272
-95.175,1000,4168.591578
13.801,644,4273.678674
-89.1,1000,4436.733853
-99.62,1000,4598.719743
-92.17,1000,4783.887518
-87.105,1000,4947.331039
-87.92,1000,5110.671642
-105.375,1000,5274.786709
-80.67,1000,5438.193462
-83.815,1000,5623.418249
